"train/global_step","youthful-dragon-4 - train/loss","youthful-dragon-4 - train/loss__MIN","youthful-dragon-4 - train/loss__MAX","youthful-dragon-4 - _step","youthful-dragon-4 - _step__MIN","youthful-dragon-4 - _step__MAX"
"1","2.0338","2.0338","2.0338","0","0","0"
"2","1.9056","1.9056","1.9056","1","1","1"
"3","2.0559","2.0559","2.0559","2","2","2"
"4","1.947","1.947","1.947","3","3","3"
"5","1.9753","1.9753","1.9753","4","4","4"
"6","1.49","1.49","1.49","5","5","5"
"7","1.6311","1.6311","1.6311","6","6","6"
"8","2.0408","2.0408","2.0408","7","7","7"
"9","1.6214","1.6214","1.6214","8","8","8"
"10","1.4007","1.4007","1.4007","9","9","9"
"11","1.3408","1.3408","1.3408","10","10","10"
"12","1.1769","1.1769","1.1769","11","11","11"
"13","0.9211","0.9211","0.9211","12","12","12"
"14","0.9299","0.9299","0.9299","13","13","13"
"15","0.7796","0.7796","0.7796","14","14","14"
"16","0.685","0.685","0.685","15","15","15"
"17","0.5529","0.5529","0.5529","16","16","16"
"18","0.5438","0.5438","0.5438","17","17","17"
"19","0.417","0.417","0.417","18","18","18"
"20","0.4388","0.4388","0.4388","19","19","19"
"21","0.2918","0.2918","0.2918","20","20","20"
"22","0.3671","0.3671","0.3671","21","21","21"
"23","0.5476","0.5476","0.5476","22","22","22"
"24","0.3308","0.3308","0.3308","23","23","23"
"25","0.2604","0.2604","0.2604","24","24","24"
"26","0.3441","0.3441","0.3441","25","25","25"
"27","0.3417","0.3417","0.3417","26","26","26"
"28","0.253","0.253","0.253","27","27","27"
"29","0.3003","0.3003","0.3003","28","28","28"
"30","0.2996","0.2996","0.2996","29","29","29"
"31","0.2562","0.2562","0.2562","30","30","30"
"32","0.2446","0.2446","0.2446","31","31","31"
"33","0.216","0.216","0.216","32","32","32"
"34","0.3959","0.3959","0.3959","33","33","33"
"35","0.2281","0.2281","0.2281","34","34","34"
"36","0.2386","0.2386","0.2386","35","35","35"
"37","0.211","0.211","0.211","36","36","36"
"38","0.2555","0.2555","0.2555","37","37","37"
"39","0.1933","0.1933","0.1933","38","38","38"
"40","0.2791","0.2791","0.2791","39","39","39"
"41","0.2173","0.2173","0.2173","40","40","40"
"42","0.2657","0.2657","0.2657","41","41","41"
"43","0.2133","0.2133","0.2133","42","42","42"
"44","0.1982","0.1982","0.1982","43","43","43"
"45","0.2364","0.2364","0.2364","44","44","44"
"46","0.2155","0.2155","0.2155","45","45","45"
"47","0.2491","0.2491","0.2491","46","46","46"
"48","0.164","0.164","0.164","47","47","47"
"49","0.1784","0.1784","0.1784","48","48","48"
"50","0.2144","0.2144","0.2144","49","49","49"
"51","0.1556","0.1556","0.1556","50","50","50"
"52","0.2047","0.2047","0.2047","51","51","51"
"53","0.3314","0.3314","0.3314","52","52","52"
"54","0.2451","0.2451","0.2451","53","53","53"
"55","0.2805","0.2805","0.2805","54","54","54"
"56","0.2185","0.2185","0.2185","55","55","55"
"57","0.2623","0.2623","0.2623","56","56","56"
"58","0.1921","0.1921","0.1921","57","57","57"
"59","0.211","0.211","0.211","58","58","58"
"60","0.2406","0.2406","0.2406","59","59","59"
"61","0.2272","0.2272","0.2272","60","60","60"
"62","0.1545","0.1545","0.1545","61","61","61"
"63","0.1905","0.1905","0.1905","62","62","62"
"64","0.2174","0.2174","0.2174","63","63","63"
"65","0.1929","0.1929","0.1929","64","64","64"
"66","0.3373","0.3373","0.3373","65","65","65"
"67","0.1853","0.1853","0.1853","66","66","66"
"68","0.1827","0.1827","0.1827","67","67","67"
"69","0.1828","0.1828","0.1828","68","68","68"
"70","0.2059","0.2059","0.2059","69","69","69"
"71","0.1708","0.1708","0.1708","70","70","70"
"72","0.2472","0.2472","0.2472","71","71","71"
"73","0.1511","0.1511","0.1511","72","72","72"
"74","0.2187","0.2187","0.2187","73","73","73"
"75","0.2624","0.2624","0.2624","74","74","74"
"76","0.2394","0.2394","0.2394","75","75","75"
"77","0.2008","0.2008","0.2008","76","76","76"
"78","0.2189","0.2189","0.2189","77","77","77"
"79","0.1084","0.1084","0.1084","78","78","78"
"80","0.1534","0.1534","0.1534","79","79","79"
"81","0.1605","0.1605","0.1605","80","80","80"
"82","0.1781","0.1781","0.1781","81","81","81"
"83","0.1964","0.1964","0.1964","82","82","82"
"84","0.1856","0.1856","0.1856","83","83","83"
"85","0.1362","0.1362","0.1362","84","84","84"
"86","0.2019","0.2019","0.2019","85","85","85"
"87","0.2324","0.2324","0.2324","86","86","86"
"88","0.2363","0.2363","0.2363","87","87","87"
"89","0.1838","0.1838","0.1838","88","88","88"
"90","0.1661","0.1661","0.1661","89","89","89"
"91","0.1656","0.1656","0.1656","90","90","90"
"92","0.1518","0.1518","0.1518","91","91","91"
"93","0.0986","0.0986","0.0986","92","92","92"
"94","0.1552","0.1552","0.1552","93","93","93"
"95","0.179","0.179","0.179","94","94","94"
"96","0.1967","0.1967","0.1967","95","95","95"
"97","0.1574","0.1574","0.1574","96","96","96"
"98","0.2199","0.2199","0.2199","97","97","97"
"99","0.2225","0.2225","0.2225","98","98","98"
"100","0.2208","0.2208","0.2208","99","99","99"
"101","0.1803","0.1803","0.1803","100","100","100"
"102","0.2376","0.2376","0.2376","101","101","101"
"103","0.1428","0.1428","0.1428","102","102","102"
"104","0.1802","0.1802","0.1802","103","103","103"
"105","0.2064","0.2064","0.2064","104","104","104"
"106","0.2339","0.2339","0.2339","105","105","105"
"107","0.185","0.185","0.185","106","106","106"
"108","0.174","0.174","0.174","107","107","107"
"109","0.206","0.206","0.206","108","108","108"
"110","0.1623","0.1623","0.1623","109","109","109"
"111","0.1754","0.1754","0.1754","110","110","110"
"112","0.1895","0.1895","0.1895","111","111","111"
"113","0.1599","0.1599","0.1599","112","112","112"
"114","0.149","0.149","0.149","113","113","113"
"115","0.2238","0.2238","0.2238","114","114","114"
"116","0.1861","0.1861","0.1861","115","115","115"
"117","0.1361","0.1361","0.1361","116","116","116"
"118","0.1922","0.1922","0.1922","117","117","117"
"119","0.1787","0.1787","0.1787","118","118","118"
"120","0.2124","0.2124","0.2124","119","119","119"
"121","0.1259","0.1259","0.1259","120","120","120"
"122","0.1533","0.1533","0.1533","121","121","121"
"123","0.1576","0.1576","0.1576","122","122","122"
"124","0.269","0.269","0.269","123","123","123"
"125","0.1324","0.1324","0.1324","124","124","124"
"126","0.2012","0.2012","0.2012","125","125","125"
"127","0.2603","0.2603","0.2603","126","126","126"
"128","0.1778","0.1778","0.1778","127","127","127"
"129","0.2002","0.2002","0.2002","128","128","128"
"130","0.2027","0.2027","0.2027","129","129","129"
"131","0.1535","0.1535","0.1535","130","130","130"
"132","0.1449","0.1449","0.1449","131","131","131"
"133","0.1877","0.1877","0.1877","132","132","132"
"134","0.1377","0.1377","0.1377","133","133","133"
"135","0.1787","0.1787","0.1787","134","134","134"
"136","0.2402","0.2402","0.2402","135","135","135"
"137","0.1577","0.1577","0.1577","136","136","136"
"138","0.1111","0.1111","0.1111","137","137","137"
"139","0.2634","0.2634","0.2634","138","138","138"
"140","0.1511","0.1511","0.1511","139","139","139"
"141","0.0986","0.0986","0.0986","140","140","140"
"142","0.1315","0.1315","0.1315","141","141","141"
"143","0.2373","0.2373","0.2373","142","142","142"
"144","0.1985","0.1985","0.1985","143","143","143"
"145","0.1674","0.1674","0.1674","144","144","144"
"146","0.1657","0.1657","0.1657","145","145","145"
"147","0.2298","0.2298","0.2298","146","146","146"
"148","0.1744","0.1744","0.1744","147","147","147"
"149","0.2052","0.2052","0.2052","148","148","148"
"150","0.1866","0.1866","0.1866","149","149","149"
"151","0.1954","0.1954","0.1954","150","150","150"
"152","0.119","0.119","0.119","151","151","151"
"153","0.1209","0.1209","0.1209","152","152","152"
"154","0.129","0.129","0.129","153","153","153"
"155","0.1364","0.1364","0.1364","154","154","154"
"156","0.1327","0.1327","0.1327","155","155","155"
"157","0.1084","0.1084","0.1084","156","156","156"
"158","0.1389","0.1389","0.1389","157","157","157"
"159","0.1698","0.1698","0.1698","158","158","158"
"160","0.1673","0.1673","0.1673","159","159","159"
"161","0.1387","0.1387","0.1387","160","160","160"
"162","0.2281","0.2281","0.2281","161","161","161"
"163","0.2295","0.2295","0.2295","162","162","162"
"164","0.14","0.14","0.14","163","163","163"
"165","0.1427","0.1427","0.1427","164","164","164"
"166","0.1363","0.1363","0.1363","165","165","165"
"167","0.176","0.176","0.176","166","166","166"
"168","0.1185","0.1185","0.1185","167","167","167"
"169","0.149","0.149","0.149","168","168","168"
"170","0.1423","0.1423","0.1423","169","169","169"
"171","0.194","0.194","0.194","170","170","170"
"172","0.2681","0.2681","0.2681","171","171","171"
"173","0.1191","0.1191","0.1191","172","172","172"
"174","0.2273","0.2273","0.2273","173","173","173"
"175","0.1965","0.1965","0.1965","174","174","174"
"176","0.1889","0.1889","0.1889","175","175","175"
"177","0.1473","0.1473","0.1473","176","176","176"
"178","0.1482","0.1482","0.1482","177","177","177"
"179","0.1455","0.1455","0.1455","178","178","178"
"180","0.1615","0.1615","0.1615","179","179","179"
"181","0.1096","0.1096","0.1096","180","180","180"
"182","0.1774","0.1774","0.1774","181","181","181"
"183","0.1285","0.1285","0.1285","182","182","182"
"184","0.1832","0.1832","0.1832","183","183","183"
"185","0.1184","0.1184","0.1184","184","184","184"
"186","0.1222","0.1222","0.1222","185","185","185"
"187","0.1869","0.1869","0.1869","186","186","186"
"188","0.1223","0.1223","0.1223","187","187","187"
"189","0.1262","0.1262","0.1262","188","188","188"
"190","0.1484","0.1484","0.1484","189","189","189"
"191","0.1471","0.1471","0.1471","190","190","190"
"192","0.0994","0.0994","0.0994","191","191","191"
"193","0.1292","0.1292","0.1292","192","192","192"
"194","0.1591","0.1591","0.1591","193","193","193"
"195","0.1409","0.1409","0.1409","194","194","194"
"196","0.0882","0.0882","0.0882","195","195","195"
"197","0.128","0.128","0.128","196","196","196"
"198","0.2574","0.2574","0.2574","197","197","197"
"199","0.1191","0.1191","0.1191","198","198","198"
"200","0.1496","0.1496","0.1496","199","199","199"
"201","0.2009","0.2009","0.2009","200","200","200"
"202","0.1738","0.1738","0.1738","201","201","201"
"203","0.1712","0.1712","0.1712","202","202","202"
"204","0.2071","0.2071","0.2071","203","203","203"
"205","0.1211","0.1211","0.1211","204","204","204"
"206","0.1089","0.1089","0.1089","205","205","205"
"207","0.1237","0.1237","0.1237","206","206","206"
"208","0.1213","0.1213","0.1213","207","207","207"
"209","0.1159","0.1159","0.1159","208","208","208"
"210","0.1744","0.1744","0.1744","209","209","209"
"211","0.1528","0.1528","0.1528","210","210","210"
"212","0.2121","0.2121","0.2121","211","211","211"
"213","0.1399","0.1399","0.1399","212","212","212"
"214","0.1856","0.1856","0.1856","213","213","213"
"215","0.1259","0.1259","0.1259","214","214","214"
"216","0.2057","0.2057","0.2057","215","215","215"
"217","0.1855","0.1855","0.1855","216","216","216"
"218","0.1678","0.1678","0.1678","217","217","217"
"219","0.2457","0.2457","0.2457","218","218","218"
"220","0.144","0.144","0.144","219","219","219"
"221","0.1693","0.1693","0.1693","220","220","220"
"222","0.1839","0.1839","0.1839","221","221","221"
"223","0.1342","0.1342","0.1342","222","222","222"
"224","0.1918","0.1918","0.1918","223","223","223"
"225","0.2064","0.2064","0.2064","224","224","224"
"226","0.1343","0.1343","0.1343","225","225","225"
"227","0.132","0.132","0.132","226","226","226"
"228","0.1868","0.1868","0.1868","227","227","227"
"229","0.1072","0.1072","0.1072","228","228","228"
"230","0.0963","0.0963","0.0963","229","229","229"
"231","0.1496","0.1496","0.1496","230","230","230"
"232","0.1057","0.1057","0.1057","231","231","231"
"233","0.1629","0.1629","0.1629","232","232","232"
"234","0.1597","0.1597","0.1597","233","233","233"
"235","0.1571","0.1571","0.1571","234","234","234"
"236","0.1585","0.1585","0.1585","235","235","235"
"237","0.1451","0.1451","0.1451","236","236","236"
"238","0.1553","0.1553","0.1553","237","237","237"
"239","0.1623","0.1623","0.1623","238","238","238"
"240","0.1391","0.1391","0.1391","239","239","239"
"241","0.1459","0.1459","0.1459","240","240","240"
"242","0.1203","0.1203","0.1203","241","241","241"
"243","0.12","0.12","0.12","242","242","242"
"244","0.2253","0.2253","0.2253","243","243","243"
"245","0.1219","0.1219","0.1219","244","244","244"
"246","0.2094","0.2094","0.2094","245","245","245"
"247","0.1535","0.1535","0.1535","246","246","246"
"248","0.1431","0.1431","0.1431","247","247","247"
"249","0.1811","0.1811","0.1811","248","248","248"
"250","0.2692","0.2692","0.2692","249","249","249"
"251","0.1238","0.1238","0.1238","250","250","250"
"252","0.1412","0.1412","0.1412","251","251","251"
"253","0.1494","0.1494","0.1494","252","252","252"
"254","0.1178","0.1178","0.1178","253","253","253"
"255","0.1039","0.1039","0.1039","254","254","254"
"256","0.1226","0.1226","0.1226","255","255","255"
"257","0.1014","0.1014","0.1014","256","256","256"
"258","0.151","0.151","0.151","257","257","257"
"259","0.1558","0.1558","0.1558","258","258","258"
"260","0.1739","0.1739","0.1739","259","259","259"
"261","0.1522","0.1522","0.1522","260","260","260"
"262","0.1696","0.1696","0.1696","261","261","261"
"263","0.0999","0.0999","0.0999","262","262","262"
"264","0.1712","0.1712","0.1712","263","263","263"
"265","0.163","0.163","0.163","264","264","264"
"266","0.2124","0.2124","0.2124","265","265","265"
"267","0.1522","0.1522","0.1522","266","266","266"
"268","0.1349","0.1349","0.1349","267","267","267"
"269","0.1203","0.1203","0.1203","268","268","268"
"270","0.1014","0.1014","0.1014","269","269","269"
"271","0.2069","0.2069","0.2069","270","270","270"
"272","0.1339","0.1339","0.1339","271","271","271"
"273","0.0932","0.0932","0.0932","272","272","272"
"274","0.0965","0.0965","0.0965","273","273","273"
"275","0.1199","0.1199","0.1199","274","274","274"
"276","0.118","0.118","0.118","275","275","275"
"277","0.1393","0.1393","0.1393","276","276","276"
"278","0.1703","0.1703","0.1703","277","277","277"
"279","0.1551","0.1551","0.1551","278","278","278"
"280","0.1757","0.1757","0.1757","279","279","279"
"281","0.0952","0.0952","0.0952","280","280","280"
"282","0.1421","0.1421","0.1421","281","281","281"
"283","0.1449","0.1449","0.1449","282","282","282"
"284","0.1288","0.1288","0.1288","283","283","283"
"285","0.1461","0.1461","0.1461","284","284","284"
"286","0.1306","0.1306","0.1306","285","285","285"
"287","0.1264","0.1264","0.1264","286","286","286"
"288","0.1163","0.1163","0.1163","287","287","287"
"289","0.158","0.158","0.158","288","288","288"
"290","0.1708","0.1708","0.1708","289","289","289"
"291","0.1867","0.1867","0.1867","290","290","290"
"292","0.1383","0.1383","0.1383","291","291","291"
"293","0.1598","0.1598","0.1598","292","292","292"
"294","0.1553","0.1553","0.1553","293","293","293"
"295","0.1242","0.1242","0.1242","294","294","294"
"296","0.1228","0.1228","0.1228","295","295","295"
"297","0.1661","0.1661","0.1661","296","296","296"
"298","0.2199","0.2199","0.2199","297","297","297"
"299","0.1744","0.1744","0.1744","298","298","298"
"300","0.1352","0.1352","0.1352","299","299","299"
"301","0.1818","0.1818","0.1818","300","300","300"
"302","0.15","0.15","0.15","301","301","301"
"303","0.133","0.133","0.133","302","302","302"
"304","0.1311","0.1311","0.1311","303","303","303"
"305","0.1641","0.1641","0.1641","304","304","304"
"306","0.1198","0.1198","0.1198","305","305","305"
"307","0.167","0.167","0.167","306","306","306"
"308","0.1567","0.1567","0.1567","307","307","307"
"309","0.1938","0.1938","0.1938","308","308","308"
"310","0.1071","0.1071","0.1071","309","309","309"
"311","0.1201","0.1201","0.1201","310","310","310"
"312","0.141","0.141","0.141","311","311","311"
"313","0.1018","0.1018","0.1018","312","312","312"
"314","0.1172","0.1172","0.1172","313","313","313"
"315","0.1102","0.1102","0.1102","314","314","314"
"316","0.1474","0.1474","0.1474","315","315","315"
"317","0.1363","0.1363","0.1363","316","316","316"
"318","0.097","0.097","0.097","317","317","317"
"319","0.1589","0.1589","0.1589","318","318","318"
"320","0.1262","0.1262","0.1262","319","319","319"
"321","0.1554","0.1554","0.1554","320","320","320"
"322","0.134","0.134","0.134","321","321","321"
"323","0.1113","0.1113","0.1113","322","322","322"
"324","0.1219","0.1219","0.1219","323","323","323"
"325","0.1332","0.1332","0.1332","324","324","324"
"326","0.129","0.129","0.129","325","325","325"
"327","0.1195","0.1195","0.1195","326","326","326"
"328","0.118","0.118","0.118","327","327","327"
"329","0.0983","0.0983","0.0983","328","328","328"
"330","0.1364","0.1364","0.1364","329","329","329"
"331","0.1501","0.1501","0.1501","330","330","330"
"332","0.1347","0.1347","0.1347","331","331","331"
"333","0.1678","0.1678","0.1678","332","332","332"
"334","0.1689","0.1689","0.1689","333","333","333"
"335","0.1582","0.1582","0.1582","334","334","334"
"336","0.1398","0.1398","0.1398","335","335","335"
"337","0.1527","0.1527","0.1527","336","336","336"
"338","0.2127","0.2127","0.2127","337","337","337"
"339","0.1462","0.1462","0.1462","338","338","338"
"340","0.1484","0.1484","0.1484","339","339","339"
"341","0.1044","0.1044","0.1044","340","340","340"
"342","0.1433","0.1433","0.1433","341","341","341"
"343","0.1763","0.1763","0.1763","342","342","342"
"344","0.244","0.244","0.244","343","343","343"
"345","0.1036","0.1036","0.1036","344","344","344"
"346","0.1216","0.1216","0.1216","345","345","345"
"347","0.2353","0.2353","0.2353","346","346","346"
"348","0.1858","0.1858","0.1858","347","347","347"
"349","0.1587","0.1587","0.1587","348","348","348"
"350","0.1298","0.1298","0.1298","349","349","349"
"351","0.196","0.196","0.196","350","350","350"
"352","0.1309","0.1309","0.1309","351","351","351"
"353","0.1382","0.1382","0.1382","352","352","352"
"354","0.1326","0.1326","0.1326","353","353","353"
"355","0.1681","0.1681","0.1681","354","354","354"
"356","0.1396","0.1396","0.1396","355","355","355"
"357","0.0994","0.0994","0.0994","356","356","356"
"358","0.0786","0.0786","0.0786","357","357","357"
"359","0.1717","0.1717","0.1717","358","358","358"
"360","0.1062","0.1062","0.1062","359","359","359"
"361","0.1477","0.1477","0.1477","360","360","360"
"362","0.1328","0.1328","0.1328","361","361","361"
"363","0.1636","0.1636","0.1636","362","362","362"
"364","0.1377","0.1377","0.1377","363","363","363"
"365","0.1042","0.1042","0.1042","364","364","364"
"366","0.1368","0.1368","0.1368","365","365","365"
"367","0.1528","0.1528","0.1528","366","366","366"
"368","0.2748","0.2748","0.2748","367","367","367"
"369","0.148","0.148","0.148","368","368","368"
"370","0.1072","0.1072","0.1072","369","369","369"
"371","0.1609","0.1609","0.1609","370","370","370"
"372","0.1132","0.1132","0.1132","371","371","371"
"373","0.132","0.132","0.132","372","372","372"
"374","0.155","0.155","0.155","373","373","373"
"375","0.1645","0.1645","0.1645","374","374","374"
"376","0.1247","0.1247","0.1247","375","375","375"
"377","0.134","0.134","0.134","376","376","376"
"378","0.1519","0.1519","0.1519","377","377","377"
"379","0.1324","0.1324","0.1324","378","378","378"
"380","0.2362","0.2362","0.2362","379","379","379"
"381","0.1221","0.1221","0.1221","380","380","380"
"382","0.0993","0.0993","0.0993","381","381","381"
"383","0.0887","0.0887","0.0887","382","382","382"
"384","0.1504","0.1504","0.1504","383","383","383"
"385","0.1057","0.1057","0.1057","384","384","384"
"386","0.1152","0.1152","0.1152","385","385","385"
"387","0.1977","0.1977","0.1977","386","386","386"
"388","0.116","0.116","0.116","387","387","387"
"389","0.0953","0.0953","0.0953","388","388","388"
"390","0.1263","0.1263","0.1263","389","389","389"
"391","0.1377","0.1377","0.1377","390","390","390"
"392","0.1159","0.1159","0.1159","391","391","391"
"393","0.1224","0.1224","0.1224","392","392","392"
"394","0.2098","0.2098","0.2098","393","393","393"
"395","0.1166","0.1166","0.1166","394","394","394"
"396","0.1551","0.1551","0.1551","395","395","395"
"397","0.1308","0.1308","0.1308","396","396","396"
"398","0.2883","0.2883","0.2883","397","397","397"
"399","0.1786","0.1786","0.1786","398","398","398"
"400","0.1522","0.1522","0.1522","399","399","399"
"401","0.1026","0.1026","0.1026","400","400","400"
"402","0.1544","0.1544","0.1544","401","401","401"
"403","0.1294","0.1294","0.1294","402","402","402"
"404","0.1059","0.1059","0.1059","403","403","403"
"405","0.1545","0.1545","0.1545","404","404","404"
"406","0.109","0.109","0.109","405","405","405"
"407","0.2344","0.2344","0.2344","406","406","406"
"408","0.1152","0.1152","0.1152","407","407","407"
"409","0.1309","0.1309","0.1309","408","408","408"
"410","0.149","0.149","0.149","409","409","409"
"411","0.0948","0.0948","0.0948","410","410","410"
"412","0.133","0.133","0.133","411","411","411"
"413","0.1297","0.1297","0.1297","412","412","412"
"414","0.1438","0.1438","0.1438","413","413","413"
"415","0.1261","0.1261","0.1261","414","414","414"
"416","0.088","0.088","0.088","415","415","415"
"417","0.1298","0.1298","0.1298","416","416","416"
"418","0.13","0.13","0.13","417","417","417"
"419","0.172","0.172","0.172","418","418","418"
"420","0.1504","0.1504","0.1504","419","419","419"
"421","0.1787","0.1787","0.1787","420","420","420"
"422","0.126","0.126","0.126","421","421","421"
"423","0.1699","0.1699","0.1699","422","422","422"
"424","0.112","0.112","0.112","423","423","423"
"425","0.1089","0.1089","0.1089","424","424","424"
"426","0.0896","0.0896","0.0896","425","425","425"
"427","0.107","0.107","0.107","426","426","426"
"428","0.2608","0.2608","0.2608","427","427","427"
"429","0.097","0.097","0.097","428","428","428"
"430","0.177","0.177","0.177","429","429","429"
"431","0.2233","0.2233","0.2233","430","430","430"
"432","0.1134","0.1134","0.1134","431","431","431"
"433","0.1142","0.1142","0.1142","432","432","432"
"434","0.1818","0.1818","0.1818","433","433","433"
"435","0.2897","0.2897","0.2897","434","434","434"
"436","0.1829","0.1829","0.1829","435","435","435"
"437","0.1679","0.1679","0.1679","436","436","436"
"438","0.1654","0.1654","0.1654","437","437","437"
"439","0.1503","0.1503","0.1503","438","438","438"
