"train/global_step","usual-capybara-5 - train/loss","usual-capybara-5 - train/loss__MIN","usual-capybara-5 - train/loss__MAX","usual-capybara-5 - _step","usual-capybara-5 - _step__MIN","usual-capybara-5 - _step__MAX"
"1","1.8356","1.8356","1.8356","0","0","0"
"2","1.8228","1.8228","1.8228","1","1","1"
"3","1.9499","1.9499","1.9499","2","2","2"
"4","1.8988","1.8988","1.8988","3","3","3"
"5","1.4451","1.4451","1.4451","4","4","4"
"6","1.8629","1.8629","1.8629","5","5","5"
"7","1.7166","1.7166","1.7166","6","6","6"
"8","1.9738","1.9738","1.9738","7","7","7"
"9","1.5541","1.5541","1.5541","8","8","8"
"10","1.3018","1.3018","1.3018","9","9","9"
"11","1.5905","1.5905","1.5905","10","10","10"
"12","1.5195","1.5195","1.5195","11","11","11"
"13","1.5205","1.5205","1.5205","12","12","12"
"14","1.2262","1.2262","1.2262","13","13","13"
"15","1.0847","1.0847","1.0847","14","14","14"
"16","1.3345","1.3345","1.3345","15","15","15"
"17","1.3305","1.3305","1.3305","16","16","16"
"18","0.8485","0.8485","0.8485","17","17","17"
"19","0.9259","0.9259","0.9259","18","18","18"
"20","0.8536","0.8536","0.8536","19","19","19"
"21","0.9365","0.9365","0.9365","20","20","20"
"22","0.7611","0.7611","0.7611","21","21","21"
"23","0.7476","0.7476","0.7476","22","22","22"
"24","0.6376","0.6376","0.6376","23","23","23"
"25","0.6492","0.6492","0.6492","24","24","24"
"26","0.5373","0.5373","0.5373","25","25","25"
"27","0.5023","0.5023","0.5023","26","26","26"
"28","0.4169","0.4169","0.4169","27","27","27"
"29","0.3769","0.3769","0.3769","28","28","28"
"30","0.3114","0.3114","0.3114","29","29","29"
"31","0.3809","0.3809","0.3809","30","30","30"
"32","0.3319","0.3319","0.3319","31","31","31"
"33","0.3092","0.3092","0.3092","32","32","32"
"34","0.3833","0.3833","0.3833","33","33","33"
"35","0.2069","0.2069","0.2069","34","34","34"
"36","0.2484","0.2484","0.2484","35","35","35"
"37","0.223","0.223","0.223","36","36","36"
"38","0.2158","0.2158","0.2158","37","37","37"
"39","0.3034","0.3034","0.3034","38","38","38"
"40","0.2213","0.2213","0.2213","39","39","39"
"41","0.16","0.16","0.16","40","40","40"
"42","0.1858","0.1858","0.1858","41","41","41"
"43","0.1801","0.1801","0.1801","42","42","42"
"44","0.3232","0.3232","0.3232","43","43","43"
"45","0.1257","0.1257","0.1257","44","44","44"
"46","0.1701","0.1701","0.1701","45","45","45"
"47","0.1918","0.1918","0.1918","46","46","46"
"48","0.1299","0.1299","0.1299","47","47","47"
"49","0.1581","0.1581","0.1581","48","48","48"
"50","0.2847","0.2847","0.2847","49","49","49"
"51","0.1692","0.1692","0.1692","50","50","50"
"52","0.1124","0.1124","0.1124","51","51","51"
"53","0.1007","0.1007","0.1007","52","52","52"
"54","0.1763","0.1763","0.1763","53","53","53"
"55","0.1026","0.1026","0.1026","54","54","54"
"56","0.1364","0.1364","0.1364","55","55","55"
"57","0.311","0.311","0.311","56","56","56"
"58","0.2559","0.2559","0.2559","57","57","57"
"59","0.1354","0.1354","0.1354","58","58","58"
"60","0.0969","0.0969","0.0969","59","59","59"
"61","0.1347","0.1347","0.1347","60","60","60"
"62","0.1325","0.1325","0.1325","61","61","61"
"63","0.1461","0.1461","0.1461","62","62","62"
"64","0.1034","0.1034","0.1034","63","63","63"
"65","0.1761","0.1761","0.1761","64","64","64"
"66","0.3214","0.3214","0.3214","65","65","65"
"67","0.1812","0.1812","0.1812","66","66","66"
"68","0.1267","0.1267","0.1267","67","67","67"
"69","0.16","0.16","0.16","68","68","68"
"70","0.1513","0.1513","0.1513","69","69","69"
"71","0.0939","0.0939","0.0939","70","70","70"
"72","0.1715","0.1715","0.1715","71","71","71"
"73","0.1022","0.1022","0.1022","72","72","72"
"74","0.1467","0.1467","0.1467","73","73","73"
"75","0.1568","0.1568","0.1568","74","74","74"
"76","0.0996","0.0996","0.0996","75","75","75"
"77","0.1348","0.1348","0.1348","76","76","76"
"78","0.1301","0.1301","0.1301","77","77","77"
"79","0.3462","0.3462","0.3462","78","78","78"
"80","0.1194","0.1194","0.1194","79","79","79"
"81","0.1694","0.1694","0.1694","80","80","80"
"82","0.1108","0.1108","0.1108","81","81","81"
"83","0.1343","0.1343","0.1343","82","82","82"
"84","0.1688","0.1688","0.1688","83","83","83"
"85","0.2191","0.2191","0.2191","84","84","84"
"86","0.1101","0.1101","0.1101","85","85","85"
"87","0.1178","0.1178","0.1178","86","86","86"
"88","0.1374","0.1374","0.1374","87","87","87"
"89","0.1555","0.1555","0.1555","88","88","88"
"90","0.1423","0.1423","0.1423","89","89","89"
"91","0.1205","0.1205","0.1205","90","90","90"
"92","0.1934","0.1934","0.1934","91","91","91"
"93","0.1364","0.1364","0.1364","92","92","92"
"94","0.1881","0.1881","0.1881","93","93","93"
"95","0.1284","0.1284","0.1284","94","94","94"
"96","0.1318","0.1318","0.1318","95","95","95"
"97","0.2173","0.2173","0.2173","96","96","96"
"98","0.1504","0.1504","0.1504","97","97","97"
"99","0.223","0.223","0.223","98","98","98"
"100","0.1196","0.1196","0.1196","99","99","99"
"101","0.1144","0.1144","0.1144","100","100","100"
"102","0.0865","0.0865","0.0865","101","101","101"
"103","0.2884","0.2884","0.2884","102","102","102"
"104","0.1729","0.1729","0.1729","103","103","103"
"105","0.144","0.144","0.144","104","104","104"
"106","0.1377","0.1377","0.1377","105","105","105"
"107","0.1992","0.1992","0.1992","106","106","106"
"108","0.1509","0.1509","0.1509","107","107","107"
"109","0.1563","0.1563","0.1563","108","108","108"
"110","0.0932","0.0932","0.0932","109","109","109"
"111","0.1308","0.1308","0.1308","110","110","110"
"112","0.1386","0.1386","0.1386","111","111","111"
"113","0.1224","0.1224","0.1224","112","112","112"
